марка,модель,поколение,мощность,год,пробег,состояние,двери,кузов,топливо,трансмиссия,цвет,привод,руль,комплектация,цена
Audi,A4,B9,150,2017.0,89000.0,не битый,4.0,седан,бензин,робот,зелёный,передний,левый,Base,1490000
Audi,Q5,I,170,2012.0,104000.0,не битый,5.0,внедорожник,дизель,робот,чёрный,полный,левый,Base,950000
Audi,A8,D4,310,2014.0,41000.0,битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,960000
Audi,Q5,I,211,2010.0,113043.0,не битый,5.0,внедорожник,бензин,робот,серый,полный,левый,Base,897000
Audi,A8,D2,174,1996.0,460000.0,не битый,4.0,седан,бензин,механика,синий,передний,левый,Base,200000
Audi,A6,C4,150,1995.0,325757.0,не битый,4.0,седан,бензин,механика,чёрный,передний,левый,Base,129000
Audi,A6,C7,180,2013.0,96341.0,не битый,4.0,седан,бензин,вариатор,чёрный,передний,левый,Base,1090000
Audi,A6,C6,177,2006.0,180000.0,не битый,4.0,седан,бензин,вариатор,чёрный,передний,левый,Base,480000
Audi,A7,I,245,2015.0,58669.0,не битый,5.0,хетчбэк,дизель,робот,белый,полный,левый,Base,2690000
Audi,80,B4,90,1994.0,200000.0,не битый,4.0,седан,бензин,механика,чёрный,передний,левый,Base,120000
Audi,A6,C4,150,1997.0,330000.0,не битый,5.0,универсал,бензин,автомат,чёрный,передний,левый,Base,60000
Audi,A4,B8,239,2008.0,220000.0,не битый,4.0,седан,дизель,автомат,коричневый,полный,левый,Standard,790000
Audi,Q3,I,170,2012.0,129000.0,не битый,5.0,внедорожник,бензин,робот,оранжевый,полный,левый,Base,1100000
Audi,Q7,4M,249,2016.0,166812.0,не битый,5.0,внедорожник,дизель,автомат,белый,полный,левый,Advance,2550000
Audi,A3,8P,125,2011.0,183000.0,не битый,5.0,хетчбэк,бензин,робот,белый,передний,левый,Ambiente,470000
Audi,Q3,I,170,2012.0,115000.0,не битый,5.0,внедорожник,бензин,робот,чёрный,полный,левый,Base,1050000
Audi,A7,I,204,2010.0,140000.0,не битый,5.0,хетчбэк,бензин,робот,белый,полный,левый,Base,1150000
Audi,A4,B6,130,2004.0,300000.0,не битый,5.0,универсал,дизель,механика,чёрный,передний,левый,Base,310000
Audi,A6,C5,150,2000.0,269312.0,не битый,4.0,седан,бензин,механика,бежевый,передний,левый,Base,245000
Audi,A6,C5,125,1998.0,509000.0,не битый,4.0,седан,бензин,механика,голубой,передний,левый,Base,215000
Audi,A6,C7,190,2018.0,15000.0,не битый,4.0,седан,бензин,робот,чёрный,передний,левый,Base,2100000
Audi,A6,C4,115,1995.0,500000.0,не битый,4.0,седан,бензин,автомат,синий,передний,левый,Base,120000
Audi,A6,C4,115,1995.0,180000.0,битый,4.0,седан,бензин,механика,белый,передний,левый,Base,29000
Audi,A4,B5,125,1995.0,100000.0,не битый,4.0,седан,бензин,механика,серебряный,передний,левый,Base,170000
Audi,A6,C6,210,2008.0,215000.0,битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,85432
Audi,A8,D3,260,2007.0,174000.0,битый,4.0,седан,бензин,вариатор,чёрный,передний,левый,Base,80123
Audi,Q3,I,180,2016.0,49000.0,не битый,5.0,внедорожник,бензин,робот,красный,полный,левый,Design,1539000
Audi,A6,C6,177,2004.0,300000.0,не битый,4.0,седан,бензин,вариатор,чёрный,передний,левый,Base,460000
Audi,A4,B8,120,2008.0,186000.0,не битый,4.0,седан,бензин,механика,чёрный,передний,левый,Standard,545000
Audi,Q7,4L,326,2008.0,158000.0,не битый,5.0,внедорожник,дизель,автомат,чёрный,полный,левый,Base,875000
Audi,A3,8P,125,2011.0,111000.0,не битый,5.0,хетчбэк,бензин,механика,чёрный,передний,левый,Base,447000
Audi,A6,C7,180,2012.0,225000.0,не битый,4.0,седан,бензин,вариатор,чёрный,передний,левый,Base,700000
Audi,100,C3,133,1991.0,20000.0,не битый,4.0,седан,бензин,механика,зелёный,передний,левый,Base,50000
Audi,A4,B5,101,1995.0,391293.0,не битый,4.0,седан,бензин,механика,синий,передний,левый,Base,70000
Audi,80,B3,90,1987.0,570000.0,не битый,4.0,седан,бензин,механика,красный,передний,левый,Base,77000
Audi,A6,C5,250,2001.0,490000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,199000
Audi,A6,C6,220,2009.0,157000.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,750000
Audi,100,C3,90,1988.0,350000.0,не битый,4.0,седан,бензин,механика,серый,передний,левый,Base,40000
Audi,100,C3,115,1986.0,350000.0,не битый,5.0,универсал,бензин,механика,чёрный,передний,левый,Base,65000
Audi,100,C4,133,1991.0,400000.0,не битый,4.0,седан,бензин,автомат,чёрный,передний,левый,Base,140000
Audi,80,B4,115,1992.0,250000.0,битый,4.0,седан,бензин,механика,зелёный,передний,левый,Base,30000
Audi,Q3,I,170,2012.0,105000.0,не битый,5.0,внедорожник,бензин,робот,белый,полный,левый,Base,850000
Audi,A4,B7,200,2007.0,151700.0,не битый,4.0,седан,бензин,автомат,чёрный,полный,левый,Base,420000
Audi,Q5,I,225,2015.0,220000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,1333000
Audi,A4 Allroad Quattro,B8,211,2010.0,145000.0,не битый,5.0,универсал,бензин,робот,чёрный,полный,левый,Base,490000
Audi,TT,8J,200,2006.0,104000.0,не битый,2.0,купе,бензин,робот,чёрный,передний,левый,Base,620000
Audi,A6,C5,150,2000.0,387000.0,не битый,5.0,универсал,дизель,механика,зелёный,передний,левый,Base,260000
Audi,A6,C6,177,2006.0,200000.0,не битый,4.0,седан,бензин,вариатор,чёрный,передний,левый,Base,460000
Audi,80,B3,75,1989.0,200000.0,не битый,4.0,седан,бензин,механика,синий,передний,левый,Base,85000
Audi,Q5,I,211,2010.0,98000.0,не битый,5.0,внедорожник,бензин,автомат,чёрный,полный,левый,Base,870000
Audi,80,B3,90,1991.0,33000.0,не битый,4.0,седан,бензин,механика,серый,передний,левый,Base,80000
Audi,A4,B8,160,2010.0,74321.0,не битый,4.0,седан,бензин,вариатор,белый,передний,левый,Standard,689000
Audi,100,C4,174,1991.0,33000.0,битый,4.0,седан,бензин,автомат,синий,передний,левый,Base,37000
Audi,80,B2,90,1984.0,259900.0,не битый,4.0,седан,бензин,механика,синий,передний,левый,Base,40000
